,Artist,count_songs
578,The Beatles,19
359,Mariah Carey,16
355,Madonna,12
682,Whitney Houston,11
387,Michael Jackson,11
637,The Supremes,10
52,Bee Gees,9
632,The Rolling Stones,8
258,Janet Jackson,7
551,Stevie Wonder,7
185,Elvis Presley,7
302,Katy Perry,6
491,Rihanna,6
148,Daryl Hall and John Oates,6
456,Phil Collins,6
100,Bruno Mars,5
160,Diana Ross,5
298,KC and the Sunshine Band,5
183,Elton John,5
218,George Michael,5
177,Eagles,5
667,Usher,5
602,The Four Seasons,5
442,Paula Abdul,5
276,John Denver,4
610,The Jackson 5,4
331,Lionel Richie,4
577,The Beach Boys,4
158,Destiny's Child,4
503,Roxette,4
97,Britney Spears,4
91,Boyz II Men,4
561,TLC,4
10,Adele,4
118,Cher,4
86,Bon Jovi,4
565,Taylor Swift,4
640,The Temptations,4
85,Bobby Vinton,4
420,Olivia Newton-John,4
73,Blondie,4
687,Wilson Phillips,3
404,Neil Sedaka,3
372,Marvin Gaye,3
499,Roberta Flack,3
501,Rod Stewart,3
216,George Harrison,3
413,New Kids on the Block,3
239,Helen Reddy,3
484,Richard Marx,3
43,Barbra Streisand,3
660,Tony Orlando and Dawn,3
24,Andy Gibb,3
244,Huey Lewis and the News,3
548,Steve Miller Band,3
47,Barry Manilow,3
257,Janet,3
649,Three Dog Night,3
529,Simon & Garfunkel,3
545,Starship,3
581,The Black Eyed Peas,3
170,Donna Summer,3
120,Chicago,3
645,The Weeknd,3
124,Christina Aguilera,3
393,Milli Vanilli,3
135,Connie Francis,3
66,Billy Joel,3
67,Billy Ocean,3
293,Justin Bieber,3
306,Kelly Clarkson,3
480,Ray Charles,3
585,The Carpenters,3
294,Justin Timberlake,3
101,Bryan Adams,3
173,Drake,3
621,The Monkees,3
437,Paul McCartney and Wings,3
19,Alicia Keys,2
106,Captain & Tennille,2
69,Billy Preston,2
470,Prince,2
333,Lisa Lisa and Cult Jam,2
679,Wham!,2
21,America,2
664,U2,2
662,Travis Scott,2
403,Neil Diamond,2
478,REO Speedwagon,2
36,B. J. Thomas,2
423,Outkast,2
399,Mr. Mister,2
368,Maroon 5,2
126,Christopher Cross,2
594,The Doors,2
224,Gloria Estefan,2
665,UB40,2
571,The 5th Dimension,2
95,Brenda Lee,2
319,Lady Gaga,2
655,Tommy James and the Shondells,2
636,The Staple Singers,2
688,Wings,2
384,Men at Work,2
385,Michael Bolton,2
119,Chic,2
31,Ariana Grande,2
324,Leo Sayer,2
635,The Shirelles,2
631,The Righteous Brothers,2
601,The Fleetwoods,2
57,Beyoncé,2
454,Petula Clark,2
650,Tiffany,2
419,Ohio Players,2
657,Tommy Roe,2
396,Monica,2
127,Chubby Checker,2
659,Toni Braxton,2
222,Glen Campbell,2
229,Grand Funk,2
567,Tears for Fears,2
515,Sean Paul,2
504,Roy Orbison,2
142,Cyndi Lauper,2
143,Céline Dion,2
575,The Association,2
584,The Byrds,2
149,David Bowie,2
311,Kesha,2
238,Heart,2
152,Debbie Gibson,2
494,Rihanna featuring Drake,2
265,Jennifer Lopez featuring Ja Rule,2
267,Jim Croce,2
133,Color Me Badd,2
576,The Bangles,2
496,Ringo Starr,2
512,Savage Garden,2
593,The Doobie Brothers,2
134,Commodores,2
241,Herman's Hermits,2
531,Simply Red,2
536,Sly and the Family Stone,2
205,Four Tops,2
489,Ricky Nelson,2
279,John Lennon,2
208,Frankie Valli,2
472,Prince and The Revolution,2
175,Duran Duran,2
207,Frankie Avalon,2
485,Rick Astley,2
179,Ed Sheeran,2
202,Flo Rida,2
161,Diana Ross & the Supremes,2
475,Queen,2
200,Fine Young Cannibals,2
198,Fergie,2
186,Eminem,2
188,Eminem featuring Rihanna,2
549,Steve Winwood,2
482,Ray Stevens,2
189,Enrique Iglesias,2
647,The Young Rascals,2
